index_value,offset
1,-0.9174928837127138
2,-0.9578985286909342
3,-0.9301454920771175
5,-0.9279575170457891
6,-0.9220327649182283
8,-0.9899288857043194
9,-0.9099961070876778
11,-0.9711754768983444
12,-0.9445660533715987
13,-0.9046446534903005
14,-0.8981922196223171
16,-0.9807716504905735
17,-0.9447308416464548
18,-0.9175247289194469
19,-0.9265432157194203
20,-0.9211032599350983
21,-0.9255367348701643
22,-0.9105176935801538
23,-0.9101926861374932
24,-0.9362888485599645
26,-0.9785950273821725
27,-0.9217444407755253
28,-0.913625727006744
29,-0.9378254819641668
31,-0.9738145073264644
32,-0.9302111089202749
33,-0.9263697763659532
34,-0.9221853668929165
36,-0.9793136635721766
37,-0.9035142092178281
38,-0.9757085687999297
39,-0.9636157006249271
40,-0.9802643622728217
41,-0.9091119582850894
42,-0.9634110306303598
43,-0.9973103274390565
44,-0.9399855380850759
45,-0.994653403545856
46,-0.9775055154956231
47,-0.9640625365096323
49,-0.9223061797876869
50,-0.9429076524086027
52,-0.9636982806680359
53,-0.9290823221183424
54,-0.9967671455060739
55,-0.9321148261447714
57,-0.9911172687297526
58,-0.9452045628145502
59,-0.9198345881516694
60,-0.9201585572892326
61,-0.9915182736013067
62,-0.901292508802056
63,-0.9256730004275121
65,-0.9113267082871029
66,-0.917675660537932
68,-0.9259037530309757
69,-0.9536606032419392
70,-0.9939225668008309
71,-0.9307749354062459
72,-0.9375775834266844
73,-0.947563209563614
74,-0.9179533448644235
75,-0.8964895305085253
76,-0.9263101481025828
77,-0.9230082026282922
78,-0.9818476622135779
81,-0.969568344159511
82,-0.9220873899881851
83,-0.9643567288254875
84,-0.9350152950140611
85,-0.9222298776044906
86,-0.9371513221326647
87,-0.9200570372638915
88,-0.9114242326524663
89,-0.9135543792214026
90,-0.955016838860062
91,-0.9427170961869035
92,-0.9336078579957615
94,-0.9261703135787033
96,-0.9923352433060203
97,-0.9995510015629454
98,-0.913660340220215
101,-0.960410125673074
103,-0.9549889008148014
104,-0.9613645850902888
105,-0.9472756584581009
106,-0.9253818171108878
107,-0.9456876212001203
108,-0.93947821894814
109,-0.9489939382910046
110,-0.9044289405524203
111,-0.9731965599451948
112,-0.9125468769379232
113,-0.9580105492227041
114,-0.9194229885533836
115,-0.9231890892512717
117,-0.897320473851919
120,-0.9151315888368484
123,-0.9348789672905279
124,-0.9222352091043726
125,-0.9589166055169056
127,-0.9151903657795215
128,-0.9524662931138279
129,-0.9317251282901693
130,-0.9933588526591689
131,-0.9364752948067586
133,-0.9683337288158965
134,-0.9659760646714753
135,-0.9642402032718894
136,-0.9240392823418496
137,-0.9317346219481513
138,-0.9885208402496989
139,-0.9509968733379855
142,-0.9299198989883637
143,-0.9828838461946375
144,-0.9301942338030309
145,-0.8990098443794003
146,-0.9638384943720608
