infection_index,time,viral_load,person_id,date,phase
1,0,5.170243345999144,8,357,pre_offset
1,4,14.106219614709106,8,361,pre_offset
1,8,5.901939183072246,8,365,pre_offset
2,0,4.585978872720595,11,437,pre_offset
2,4,12.133286168115136,11,441,pre_offset
2,8,3.27001246160715,11,445,pre_offset
3,0,7.012547289367175,12,185,pre_offset
3,4,10.50171464138143,12,189,pre_offset
3,8,1.8751664302032394,12,193,pre_offset
4,0,4.979727619040562,14,257,pre_offset
4,4,12.720569401825637,14,261,pre_offset
4,8,4.6800091124987375,14,265,pre_offset
5,0,6.932602843700945,16,121,pre_offset
5,4,11.267518276803223,16,125,pre_offset
5,8,3.5564995953069456,16,129,pre_offset
6,0,9.021927964826032,20,457,pre_offset
6,4,8.492180490806742,20,461,pre_offset
7,0,2.722269329364949,25,197,pre_offset
7,4,10.91224760822385,25,201,pre_offset
7,8,5.972011280702767,25,205,pre_offset
8,0,2.919021217273927,28,81,pre_offset
8,4,11.299578992281498,28,85,pre_offset
8,8,8.053644303446676,28,89,pre_offset
9,0,3.0720582631844713,29,297,pre_offset
9,4,11.481415673101521,29,301,pre_offset
9,8,6.8476032251258685,29,305,pre_offset
10,0,2.853990764867681,35,97,pre_offset
10,4,10.994548799376023,35,101,pre_offset
10,8,7.668141322615149,35,105,pre_offset
11,0,5.023713136490561,38,313,pre_offset
11,4,13.212560762163328,38,317,pre_offset
11,8,5.4242041820758224,38,321,pre_offset
12,0,6.848557290070132,43,73,pre_offset
12,4,10.22872243629718,43,77,pre_offset
12,8,0.7001821325376154,43,81,pre_offset
13,0,7.45098782444649,55,273,pre_offset
13,4,12.043028876737402,55,277,pre_offset
13,8,4.686849139317038,55,281,pre_offset
14,0,7.467270875862237,56,189,pre_offset
14,4,11.262259900939334,56,193,pre_offset
14,8,3.8764758128105696,56,197,pre_offset
15,0,2.6643118062120563,61,65,pre_offset
15,4,10.569628299804377,61,69,pre_offset
15,8,4.9174959543319074,61,73,pre_offset
16,0,9.287096369941361,63,405,pre_offset
16,4,7.769825378245651,63,409,pre_offset
17,0,10.405756938670741,64,117,pre_offset
17,4,10.667262792547426,64,121,pre_offset
17,8,3.200064056444036,64,125,pre_offset
18,0,5.199766725306865,67,105,pre_offset
18,4,12.98437992632471,67,109,pre_offset
18,8,4.259937219095011,67,113,pre_offset
19,0,8.664964227976368,70,137,pre_offset
19,4,8.986826288316077,70,141,pre_offset
20,0,2.777860163827357,72,293,pre_offset
20,4,12.129377991038767,72,297,pre_offset
20,8,7.831935734484123,72,301,pre_offset
20,12,0.33180041967705265,72,305,pre_offset
21,0,5.203804921528696,78,85,pre_offset
21,4,12.19799554368897,78,89,pre_offset
21,8,4.604248257952621,78,93,pre_offset
22,0,3.301554075665199,81,413,pre_offset
22,4,10.868780060316887,81,417,pre_offset
22,8,5.6660317289318956,81,421,pre_offset
23,0,6.967352603999898,85,449,pre_offset
23,4,10.227158063099981,85,453,pre_offset
23,8,2.3434227544240787,85,457,pre_offset
24,0,9.405885713701181,88,353,pre_offset
24,4,8.822254334739979,88,357,pre_offset
24,8,0.8977291426472721,88,361,pre_offset
25,0,9.264872064831625,90,173,pre_offset
25,4,7.966201102674105,90,177,pre_offset
26,0,3.201939703245774,101,389,pre_offset
26,4,10.529489638904533,101,393,pre_offset
26,8,6.275873715917184,101,397,pre_offset
27,0,5.493129935734048,103,33,pre_offset
27,4,12.413699515347476,103,37,pre_offset
27,8,4.062940511847515,103,41,pre_offset
28,0,6.428886162414453,105,277,pre_offset
28,4,10.726047712848752,105,281,pre_offset
28,8,2.0563303932648918,105,285,pre_offset
29,0,3.617676236559719,107,461,pre_offset
29,4,12.132118614949494,107,465,pre_offset
29,8,8.890313441359085,107,469,pre_offset
29,12,1.2455540436623092,107,473,pre_offset
30,0,7.116547071209877,108,249,pre_offset
30,4,11.481153557570082,108,253,pre_offset
30,8,3.0788728241524113,108,257,pre_offset
31,0,3.0395938231869972,113,433,pre_offset
31,4,11.035515708055293,113,437,pre_offset
31,8,7.223676368411866,113,441,pre_offset
32,0,8.912868691384778,118,33,pre_offset
32,4,10.169720600759915,118,37,pre_offset
32,8,3.4961231548993403,118,41,pre_offset
33,0,5.267985904870924,123,125,pre_offset
33,4,12.408395917118934,123,129,pre_offset
33,8,4.173246448919931,123,133,pre_offset
34,0,3.150527701418898,127,393,pre_offset
34,4,11.050974585417459,127,397,pre_offset
34,8,6.642125941562134,127,401,pre_offset
35,0,2.953469854805258,128,361,pre_offset
35,4,10.820646660131677,128,365,pre_offset
35,8,7.085416742182812,128,369,pre_offset
36,0,2.9134180999335917,129,245,pre_offset
36,4,10.143418550844594,129,249,pre_offset
36,8,6.088162187047212,129,253,pre_offset
37,0,9.673498930587202,132,197,pre_offset
37,4,8.324901357810033,132,201,pre_offset
38,0,7.1197178905306044,133,273,pre_offset
38,4,11.393974956805668,133,277,pre_offset
38,8,3.9266183193281057,133,281,pre_offset
39,0,5.06880972792447,134,465,pre_offset
39,4,12.906310565248242,134,469,pre_offset
39,8,4.23778287918672,134,473,pre_offset
40,0,4.563125525332544,135,97,pre_offset
40,4,12.825082216460128,135,101,pre_offset
40,8,4.359877511523285,135,105,pre_offset
41,0,3.373508019865905,136,113,pre_offset
41,4,10.654078398070506,136,117,pre_offset
41,8,5.514149916983096,136,121,pre_offset
